maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
ゼインアーツ,ZEKU RU,,,現行,,,,,,,,https://zanearts.com/products/zeku-ru,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GINGA,,,現行,,,,,,,,https://zanearts.com/products/ginga,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,KIIRA,,,現行,,,,,,,,https://zanearts.com/products/kiira,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,YOMA,,,現行,,,,,,,,https://zanearts.com/products/yoma,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,UKA,,,現行,,,,,,,,https://zanearts.com/products/uka,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,LOLO-M,,,現行,,,,,,,,https://zanearts.com/products/lolo-m,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,LOLO,,,現行,,,,,,,,https://zanearts.com/products/lolo,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,KUKU-1,,,現行,,,,,,,,https://zanearts.com/products/kuku-1,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,KUKU-2,,,現行,,,,,,,,https://zanearts.com/products/kuku-2,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,TOIRO TC,,,現行,,,,,,,,https://zanearts.com/products/toiro-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
